"Model","Objective function","MGC","Positive-definite Hessian"
"ensemble-001","98,233.0","9.61e-05","No"
"ensemble-002","90,793.2","8.22e-05","Yes"
"ensemble-003","94,348.6","7.27e-05","Yes"
"ensemble-004","100,392.0","5.46e-05","Yes"
"ensemble-005","90,039.9","6.90e-05","No"
"ensemble-006","94,143.3","8.38e-05","Yes"
"ensemble-007","90,079.1","9.93e-05","No"
"ensemble-008","89,210.4","9.38e-05","Yes"
"ensemble-009","91,191.2","7.92e-05","Yes"
"ensemble-010","90,300.6","8.56e-05","Yes"
"ensemble-011","94,259.6","9.79e-05","No"
"ensemble-012","89,811.4","9.20e-05","Yes"
"ensemble-013","91,431.4","5.56e-05","Yes"
"ensemble-014","90,670.2","8.57e-05","Yes"
"ensemble-015","105,504.3","7.98e-05","No"
"ensemble-016","89,330.5","9.66e-05","No"
"ensemble-017","89,958.3","9.22e-05","Yes"
"ensemble-018","94,241.0","9.99e-05","Yes"
"ensemble-019","90,378.7","8.12e-05","Yes"
"ensemble-020","89,928.2","9.09e-05","Yes"
"ensemble-021","90,044.7","9.26e-05","Yes"
"ensemble-022","89,853.1","9.62e-05","No"
"ensemble-023","93,707.1","9.25e-05","Yes"
"ensemble-024","90,649.2","9.12e-05","Yes"
"ensemble-025","88,935.7","7.67e-05","Yes"
"ensemble-026","90,472.6","7.34e-05","Yes"
"ensemble-027","100,501.7","5.98e-05","Yes"
"ensemble-028","89,621.7","9.78e-05","Yes"
"ensemble-029","90,803.9","9.60e-05","No"
"ensemble-030","91,038.7","9.15e-05","Yes"
"ensemble-031","94,533.7","9.97e-05","Yes"
"ensemble-032","94,527.6","9.97e-05","Yes"
"ensemble-033","90,268.1","8.28e-05","Yes"
"ensemble-034","89,359.1","9.39e-05","No"
"ensemble-035","90,710.2","9.08e-05","No"
"ensemble-036","93,282.3","9.30e-05","No"
"ensemble-037","90,083.9","9.95e-05","No"
"ensemble-038","89,322.4","8.47e-05","Yes"
"ensemble-039","93,582.7","9.05e-05","Yes"
"ensemble-040","90,317.0","8.42e-05","Yes"
"ensemble-041","99,110.9","9.16e-05","Yes"
"ensemble-042","90,885.5","8.95e-05","No"
"ensemble-043","90,810.5","8.73e-05","Yes"
"ensemble-044","90,473.3","9.44e-05","Yes"
"ensemble-045","98,800.4","9.83e-05","Yes"
"ensemble-046","89,545.1","7.68e-05","Yes"
"ensemble-047","89,738.8","9.56e-05","No"
"ensemble-048","89,754.6","9.81e-05","Yes"
"ensemble-049","89,387.6","9.69e-05","No"
"ensemble-050","89,206.3","5.94e-05","Yes"
"ensemble-051","90,487.5","9.18e-05","Yes"
"ensemble-052","90,067.5","9.36e-05","Yes"
"ensemble-053","90,900.6","9.56e-05","Yes"
"ensemble-054","91,309.6","9.87e-05","Yes"
"ensemble-055","105,035.1","9.09e-05","Yes"
"ensemble-056","89,623.3","6.78e-05","Yes"
"ensemble-057","89,870.9","9.74e-05","Yes"
"ensemble-058","90,665.1","9.20e-05","Yes"
"ensemble-059","89,738.8","9.41e-05","Yes"
"ensemble-060","90,284.5","9.69e-05","Yes"
"ensemble-061","89,729.0","9.47e-05","Yes"
"ensemble-062","93,534.2","9.98e-05","Yes"
"ensemble-063","91,023.8","9.82e-05","No"
"ensemble-064","89,824.0","9.18e-05","Yes"
"ensemble-065","91,238.4","9.20e-05","Yes"
"ensemble-066","90,866.0","9.86e-05","Yes"
"ensemble-067","94,747.3","8.33e-05","No"
"ensemble-068","90,551.7","9.87e-05","No"
"ensemble-069","88,897.8","9.05e-05","Yes"
"ensemble-070","105,126.5","8.84e-05","Yes"
"ensemble-071","89,804.6","9.25e-05","Yes"
"ensemble-072","94,590.4","8.64e-05","Yes"
"ensemble-073","94,833.9","9.39e-05","Yes"
"ensemble-074","89,300.7","9.10e-05","Yes"
"ensemble-075","92,991.6","9.56e-05","Yes"
"ensemble-076","91,194.7","8.84e-05","Yes"
"ensemble-077","90,341.2","8.84e-05","Yes"
"ensemble-078","89,697.6","6.97e-05","Yes"
"ensemble-079","90,543.9","9.95e-05","Yes"
"ensemble-080","89,935.7","9.31e-05","Yes"
